,NIVEAU_GÉO,GÉO,QUESTION,LANGUE,CHIFFRE_TOTAL
16485,Province,Ontario,Langue maternelle,"Langues tibéto-birmanes, n.i.a.",460
16486,Province,Ontario,Langue maternelle,"Langues sino-tibétaines, n.i.a.",275
16488,Province,Ontario,Langue maternelle,Lao,4570
16489,Province,Ontario,Langue maternelle,Thaï,3535
16490,Province,Ontario,Langue maternelle,"Langues taï-kadaï, n.i.a.",165
16492,Province,Ontario,Langue maternelle,Azerbaïdjanais,2870
16493,Province,Ontario,Langue maternelle,Kazakh,255
16494,Province,Ontario,Langue maternelle,Turc,26740
16495,Province,Ontario,Langue maternelle,Ouïghour,720
16496,Province,Ontario,Langue maternelle,Ouzbek,1080
16497,Province,Ontario,Langue maternelle,"Langues turques, n.i.a.",610
16499,Province,Ontario,Langue maternelle,Estonien,3450
16500,Province,Ontario,Langue maternelle,Finnois,7650
16501,Province,Ontario,Langue maternelle,Hongrois,31170
16502,Province,Ontario,Langue maternelle,"Autres langues, n.i.a.",460
16504,Province,Ontario,Langue maternelle,Français et anglais,96260
16505,Province,Ontario,Langue maternelle,Anglais et langue(s) non officielle(s),494610
16506,Province,Ontario,Langue maternelle,Français et langue(s) non officielle(s),15710
16507,Province,Ontario,Langue maternelle,"Français, anglais et langue(s) non officielle(s)",16770
16508,Province,Ontario,Langue maternelle,Langues non officielles multiples,45835
16523,Province,Ontario,Langue parlée le plus souvent à la maison,Anglais,10910560
16524,Province,Ontario,Langue parlée le plus souvent à la maison,Français,254870
16528,Province,Ontario,Langue parlée le plus souvent à la maison,Pied-noir,0
16530,Province,Ontario,Langue parlée le plus souvent à la maison,Atikamekw,0
16532,Province,Ontario,Langue parlée le plus souvent à la maison,Ililimowin (cri de Moose),30
16533,Province,Ontario,Langue parlée le plus souvent à la maison,Inu Ayimun (cri du Sud-Est),0
16534,Province,Ontario,Langue parlée le plus souvent à la maison,Iyiyiw-Ayimiwin (cri du Nord-Est),15
16535,Province,Ontario,Langue parlée le plus souvent à la maison,Nehinawewin (cri des marais),135
16536,Province,Ontario,Langue parlée le plus souvent à la maison,Nehiyawewin (cri des plaines),5
16537,Province,Ontario,Langue parlée le plus souvent à la maison,Nihithawiwin (cri des bois),15
16538,Province,Ontario,Langue parlée le plus souvent à la maison,"Cri, n.d.a.",1015
16539,Province,Ontario,Langue parlée le plus souvent à la maison,Innu (montagnais),0
16540,Province,Ontario,Langue parlée le plus souvent à la maison,Naskapi,5
16542,Province,Ontario,Langue parlée le plus souvent à la maison,Mi'kmaq,20
16543,Province,Ontario,Langue parlée le plus souvent à la maison,Wolastoqewi (malécite),0
16545,Province,Ontario,Langue parlée le plus souvent à la maison,Anicinabemowin (algonquin),5
16546,Province,Ontario,Langue parlée le plus souvent à la maison,Oji-cri,1985
16548,Province,Ontario,Langue parlée le plus souvent à la maison,Anishinaabemowin (chippewa),95
16549,Province,Ontario,Langue parlée le plus souvent à la maison,Daawaamwin (odawa),25
16550,Province,Ontario,Langue parlée le plus souvent à la maison,Saulteaux (ojibwé occidental),0
16551,Province,Ontario,Langue parlée le plus souvent à la maison,"Ojibwé, n.d.a.",2070
16552,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues algonquiennes, n.i.a.",0
16555,Province,Ontario,Langue parlée le plus souvent à la maison,Dakelh (porteur),0
16556,Province,Ontario,Langue parlée le plus souvent à la maison,Dane-zaa (castor),0
16557,Province,Ontario,Langue parlée le plus souvent à la maison,"Déné, n.d.a.",0
16558,Province,Ontario,Langue parlée le plus souvent à la maison,Gwich'in,5
16560,Province,Ontario,Langue parlée le plus souvent à la maison,Deh Gah Ghotie Zhatie (esclave du Sud),0
16561,Province,Ontario,Langue parlée le plus souvent à la maison,Satuotine Yati (esclave du Nord),0
16562,Province,Ontario,Langue parlée le plus souvent à la maison,"Esclave, n.d.a.",0
16564,Province,Ontario,Langue parlée le plus souvent à la maison,Kaska (nahani),0
16565,Province,Ontario,Langue parlée le plus souvent à la maison,Tahltan,0
16566,Province,Ontario,Langue parlée le plus souvent à la maison,Tlicho (flanc-de-chien),5
16567,Province,Ontario,Langue parlée le plus souvent à la maison,Tse'khene (sekani),0
16568,Province,Ontario,Langue parlée le plus souvent à la maison,Tsilhqot'in (chilcotin),0
16569,Province,Ontario,Langue parlée le plus souvent à la maison,Tsuu T'ina (sarsi),0
16571,Province,Ontario,Langue parlée le plus souvent à la maison,Tutchone du Nord,0
16572,Province,Ontario,Langue parlée le plus souvent à la maison,Tutchone du Sud,0
16573,Province,Ontario,Langue parlée le plus souvent à la maison,"Tutchone, n.d.a.",0
16574,Province,Ontario,Langue parlée le plus souvent à la maison,Wetsuwet'en-babine,10
16575,Province,Ontario,Langue parlée le plus souvent à la maison,Tlingit,0
16576,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues athabascanes, n.i.a.",0
16577,Province,Ontario,Langue parlée le plus souvent à la maison,Haïda,0
16580,Province,Ontario,Langue parlée le plus souvent à la maison,Inuinnaqtun,0
16581,Province,Ontario,Langue parlée le plus souvent à la maison,Inuvialuktun,0
16582,Province,Ontario,Langue parlée le plus souvent à la maison,Inuktitut,150
16583,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues inuktutes (inuites), n.i.a.",0
16585,Province,Ontario,Langue parlée le plus souvent à la maison,Cayuga,10
16586,Province,Ontario,Langue parlée le plus souvent à la maison,Mohawk,50
16587,Province,Ontario,Langue parlée le plus souvent à la maison,Oneida,15
16588,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues iroquoiennes, n.i.a.",0
16589,Province,Ontario,Langue parlée le plus souvent à la maison,Ktunaxa (kutenai),0
16590,Province,Ontario,Langue parlée le plus souvent à la maison,Michif,15
16592,Province,Ontario,Langue parlée le plus souvent à la maison,Halkomelem,0
16593,Province,Ontario,Langue parlée le plus souvent à la maison,Lillooet,0
16594,Province,Ontario,Langue parlée le plus souvent à la maison,Ntlakapamux (thompson),0
16595,Province,Ontario,Langue parlée le plus souvent à la maison,Secwepemctsin (shuswap),0
16596,Province,Ontario,Langue parlée le plus souvent à la maison,Squamish,0
16597,Province,Ontario,Langue parlée le plus souvent à la maison,Straits,0
16598,Province,Ontario,Langue parlée le plus souvent à la maison,Syilx (okanagan),0
16599,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues salishennes, n.i.a.",0
16601,Province,Ontario,Langue parlée le plus souvent à la maison,Assiniboine,0
16602,Province,Ontario,Langue parlée le plus souvent à la maison,Dakota,0
16603,Province,Ontario,Langue parlée le plus souvent à la maison,Stoney,0
16604,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues siouennes, n.i.a.",0
16606,Province,Ontario,Langue parlée le plus souvent à la maison,Gitxsan (gitksan),0
16607,Province,Ontario,Langue parlée le plus souvent à la maison,Nisga'a,0
16608,Province,Ontario,Langue parlée le plus souvent à la maison,Tsimshian,0
16610,Province,Ontario,Langue parlée le plus souvent à la maison,Haisla,0
16611,Province,Ontario,Langue parlée le plus souvent à la maison,Heiltsuk,0
16612,Province,Ontario,Langue parlée le plus souvent à la maison,Kwak'wala (kwakiutl),0
16613,Province,Ontario,Langue parlée le plus souvent à la maison,Nuu-chah-nulth (nootka),0
16614,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues wakashanes, n.i.a.",0
16615,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues autochtones, n.i.a.",0
16616,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues autochtones, n.d.a.",5
16620,Province,Ontario,Langue parlée le plus souvent à la maison,Kabyle,220
16621,Province,Ontario,Langue parlée le plus souvent à la maison,Tamazight,100
16622,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues berbères, n.i.a.",45
16624,Province,Ontario,Langue parlée le plus souvent à la maison,Haoussa,325
16625,Province,Ontario,Langue parlée le plus souvent à la maison,Mina,30
16626,Province,Ontario,Langue parlée le plus souvent à la maison,Copte,255
16628,Province,Ontario,Langue parlée le plus souvent à la maison,Bilen,800
16629,Province,Ontario,Langue parlée le plus souvent à la maison,Oromo,840
16630,Province,Ontario,Langue parlée le plus souvent à la maison,Somali,14230
16631,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues couchitiques, n.i.a.",230
16633,Province,Ontario,Langue parlée le plus souvent à la maison,Amharique,6405
16634,Province,Ontario,Langue parlée le plus souvent à la maison,Arabe,124865
16636,Province,Ontario,Langue parlée le plus souvent à la maison,Assyrien néo-araméen,11870
16637,Province,Ontario,Langue parlée le plus souvent à la maison,Chaldéen néo-araméen,5550
16638,Province,Ontario,Langue parlée le plus souvent à la maison,"Araméen, n.d.a.",705
16639,Province,Ontario,Langue parlée le plus souvent à la maison,Harari,515
16640,Province,Ontario,Langue parlée le plus souvent à la maison,Hébreu,4925
16641,Province,Ontario,Langue parlée le plus souvent à la maison,Maltais,770
16642,Province,Ontario,Langue parlée le plus souvent à la maison,Tigrigna,8870
16643,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues sémitiques, n.i.a.",120
16645,Province,Ontario,Langue parlée le plus souvent à la maison,Khmer (cambodgien),3855
16646,Province,Ontario,Langue parlée le plus souvent à la maison,Vietnamien,52080
16647,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues austro-asiatiques, n.i.a.",55
16649,Province,Ontario,Langue parlée le plus souvent à la maison,Bicol,255
16650,Province,Ontario,Langue parlée le plus souvent à la maison,"Bisaya, n.d.a.",1355
16651,Province,Ontario,Langue parlée le plus souvent à la maison,Cebuano,3140
16652,Province,Ontario,Langue parlée le plus souvent à la maison,Fidjien,20
16653,Province,Ontario,Langue parlée le plus souvent à la maison,Hiligaïnon,1960
16654,Province,Ontario,Langue parlée le plus souvent à la maison,Ilocano,8105
16655,Province,Ontario,Langue parlée le plus souvent à la maison,Indonésien,1990
16656,Province,Ontario,Langue parlée le plus souvent à la maison,Kankanaey,210
16657,Province,Ontario,Langue parlée le plus souvent à la maison,Kinaray-a,110
16659,Province,Ontario,Langue parlée le plus souvent à la maison,Merina,15
16660,Province,Ontario,Langue parlée le plus souvent à la maison,"Malgache, n.d.a.",35
16661,Province,Ontario,Langue parlée le plus souvent à la maison,Malais,130
16662,Province,Ontario,Langue parlée le plus souvent à la maison,"Pampangan (kapampangan, pampango)",990
16663,Province,Ontario,Langue parlée le plus souvent à la maison,Pangasinan,250
16664,Province,Ontario,Langue parlée le plus souvent à la maison,"Tagalog (pilipino, filipino)",95635
16665,Province,Ontario,Langue parlée le plus souvent à la maison,Waray-waray,230
16666,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues austronésiennes, n.i.a.",785
16668,Province,Ontario,Langue parlée le plus souvent à la maison,Créole haïtien,2640
16669,Province,Ontario,Langue parlée le plus souvent à la maison,Créole jamaïcain anglais,195
16670,Province,Ontario,Langue parlée le plus souvent à la maison,Krio,140
16671,Province,Ontario,Langue parlée le plus souvent à la maison,Mauricien,1425
16672,Province,Ontario,Langue parlée le plus souvent à la maison,Sango,30
16673,Province,Ontario,Langue parlée le plus souvent à la maison,"Créole, n.d.a.",1325
16674,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues créoles, n.i.a.",420
16676,Province,Ontario,Langue parlée le plus souvent à la maison,Kannada,2165
16677,Province,Ontario,Langue parlée le plus souvent à la maison,Malayalam,20855
16678,Province,Ontario,Langue parlée le plus souvent à la maison,Tamoul,93165
16679,Province,Ontario,Langue parlée le plus souvent à la maison,Telougou,12805
16680,Province,Ontario,Langue parlée le plus souvent à la maison,Tulu,145
16681,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues dravidiennes, n.i.a.",110
16682,Province,Ontario,Langue parlée le plus souvent à la maison,Géorgien,1040
16683,Province,Ontario,Langue parlée le plus souvent à la maison,Langues hmong-mien,185
16685,Province,Ontario,Langue parlée le plus souvent à la maison,Albanais,9880
16686,Province,Ontario,Langue parlée le plus souvent à la maison,Arménien,8590
16689,Province,Ontario,Langue parlée le plus souvent à la maison,Letton,535
16690,Province,Ontario,Langue parlée le plus souvent à la maison,Lituanien,1105
16692,Province,Ontario,Langue parlée le plus souvent à la maison,Biélorusse,145
16693,Province,Ontario,Langue parlée le plus souvent à la maison,Bulgare,4100
16694,Province,Ontario,Langue parlée le plus souvent à la maison,Tchèque,2555
16695,Province,Ontario,Langue parlée le plus souvent à la maison,Macédonien,5535
16696,Province,Ontario,Langue parlée le plus souvent à la maison,Polonais,45800
16697,Province,Ontario,Langue parlée le plus souvent à la maison,Russe,66045
16698,Province,Ontario,Langue parlée le plus souvent à la maison,Russine,120
16700,Province,Ontario,Langue parlée le plus souvent à la maison,Bosniaque,3450
16701,Province,Ontario,Langue parlée le plus souvent à la maison,Croate,9990
16702,Province,Ontario,Langue parlée le plus souvent à la maison,Serbe,22145
16703,Province,Ontario,Langue parlée le plus souvent à la maison,"Serbo-croate, n.i.a.",400
16704,Province,Ontario,Langue parlée le plus souvent à la maison,Slovaque,3070
16705,Province,Ontario,Langue parlée le plus souvent à la maison,Slovène,1000
16706,Province,Ontario,Langue parlée le plus souvent à la maison,Ukrainien,15235
16707,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues slaves, n.i.a.",65
16709,Province,Ontario,Langue parlée le plus souvent à la maison,Irlandais,65
16710,Province,Ontario,Langue parlée le plus souvent à la maison,Gaélique écossais,25
16711,Province,Ontario,Langue parlée le plus souvent à la maison,Gallois,45
16712,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues celtiques, n.i.a.",15
16714,Province,Ontario,Langue parlée le plus souvent à la maison,Frison,85
16716,Province,Ontario,Langue parlée le plus souvent à la maison,Allemand,20680
16717,Province,Ontario,Langue parlée le plus souvent à la maison,Allemand pennsylvanien,7180
16718,Province,Ontario,Langue parlée le plus souvent à la maison,Allemand suisse,560
16719,Province,Ontario,Langue parlée le plus souvent à la maison,Yiddish,250
16721,Province,Ontario,Langue parlée le plus souvent à la maison,Afrikaans,1175
16722,Province,Ontario,Langue parlée le plus souvent à la maison,Néerlandais,4055
16723,Province,Ontario,Langue parlée le plus souvent à la maison,"Bas-allemand, n.d.a.",1265
16724,Province,Ontario,Langue parlée le plus souvent à la maison,Bas-saxon,185
16725,Province,Ontario,Langue parlée le plus souvent à la maison,Bas-allemand mennonite,4415
16726,Province,Ontario,Langue parlée le plus souvent à la maison,Vlaams (flamand),95
16728,Province,Ontario,Langue parlée le plus souvent à la maison,Danois,210
16729,Province,Ontario,Langue parlée le plus souvent à la maison,Islandais,30
16730,Province,Ontario,Langue parlée le plus souvent à la maison,Norvégien,70
16731,Province,Ontario,Langue parlée le plus souvent à la maison,Suédois,310
16732,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues germaniques, n.i.a.",40
16733,Province,Ontario,Langue parlée le plus souvent à la maison,Grec,19065
16736,Province,Ontario,Langue parlée le plus souvent à la maison,Assamais,145
16737,Province,Ontario,Langue parlée le plus souvent à la maison,Bengali,34830
16738,Province,Ontario,Langue parlée le plus souvent à la maison,Gujarati,63145
16739,Province,Ontario,Langue parlée le plus souvent à la maison,Hindi,52420
16740,Province,Ontario,Langue parlée le plus souvent à la maison,Kacchi,1655
16741,Province,Ontario,Langue parlée le plus souvent à la maison,Cachemiri,145
16742,Province,Ontario,Langue parlée le plus souvent à la maison,Konkani,640
16743,Province,Ontario,Langue parlée le plus souvent à la maison,Marathi,4975
16744,Province,Ontario,Langue parlée le plus souvent à la maison,Népalais,8910
16746,Province,Ontario,Langue parlée le plus souvent à la maison,Odia,420
16747,Province,Ontario,Langue parlée le plus souvent à la maison,"Oriya, n.d.a.",230
16748,Province,Ontario,Langue parlée le plus souvent à la maison,Pendjabi (panjabi),198670
16749,Province,Ontario,Langue parlée le plus souvent à la maison,Rohingya,220
16750,Province,Ontario,Langue parlée le plus souvent à la maison,Sindhi,1390
16751,Province,Ontario,Langue parlée le plus souvent à la maison,Singhalais,5795
16752,Province,Ontario,Langue parlée le plus souvent à la maison,Ourdou,113020
16753,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues indo-aryennes, n.i.a.",930
16755,Province,Ontario,Langue parlée le plus souvent à la maison,Baloutche,195
16756,Province,Ontario,Langue parlée le plus souvent à la maison,Kurde,5560
16757,Province,Ontario,Langue parlée le plus souvent à la maison,Parsi,170
16758,Province,Ontario,Langue parlée le plus souvent à la maison,Pachto,8670
16760,Province,Ontario,Langue parlée le plus souvent à la maison,Dari,21150
16761,Province,Ontario,Langue parlée le plus souvent à la maison,Persan iranien,67320
16762,Province,Ontario,Langue parlée le plus souvent à la maison,"Persan (farsi), n.d.a.",10625
16763,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues iraniennes, n.i.a.",310
16764,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues indo-iraniennes, n.i.a.",65
16766,Province,Ontario,Langue parlée le plus souvent à la maison,Catalan,105
16767,Province,Ontario,Langue parlée le plus souvent à la maison,Italien,58670
16768,Province,Ontario,Langue parlée le plus souvent à la maison,Portugais,74745
16769,Province,Ontario,Langue parlée le plus souvent à la maison,Roumain,17755
16770,Province,Ontario,Langue parlée le plus souvent à la maison,Espagnol,123690
16771,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues italiques (romanes), n.i.a.",240
16772,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues indo-européennes, n.i.a.",90
16773,Province,Ontario,Langue parlée le plus souvent à la maison,Japonais,5875
16774,Province,Ontario,Langue parlée le plus souvent à la maison,Coréen,53585
16775,Province,Ontario,Langue parlée le plus souvent à la maison,Mongol,290
16777,Province,Ontario,Langue parlée le plus souvent à la maison,Akan (twi),4370
16778,Province,Ontario,Langue parlée le plus souvent à la maison,Bamanankan,80
16779,Province,Ontario,Langue parlée le plus souvent à la maison,Edo,270
16781,Province,Ontario,Langue parlée le plus souvent à la maison,"Fulah (peul, pular, pulaar, fulfulde)",220
16782,Province,Ontario,Langue parlée le plus souvent à la maison,Ga,170
16783,Province,Ontario,Langue parlée le plus souvent à la maison,Ganda,345
16784,Province,Ontario,Langue parlée le plus souvent à la maison,Gikuyu,70
16785,Province,Ontario,Langue parlée le plus souvent à la maison,Igbo,660
16786,Province,Ontario,Langue parlée le plus souvent à la maison,Kinyarwanda (rwanda),775
16787,Province,Ontario,Langue parlée le plus souvent à la maison,Lingala,330
16788,Province,Ontario,Langue parlée le plus souvent à la maison,Luba-kasaï,35
16789,Province,Ontario,Langue parlée le plus souvent à la maison,Mòoré,10
16790,Province,Ontario,Langue parlée le plus souvent à la maison,Mwani,80
16791,Province,Ontario,Langue parlée le plus souvent à la maison,Ndébélé,115
16792,Province,Ontario,Langue parlée le plus souvent à la maison,Rundi (kiroundi),1375
16793,Province,Ontario,Langue parlée le plus souvent à la maison,Shona,450
16794,Province,Ontario,Langue parlée le plus souvent à la maison,Soninké,105
16795,Province,Ontario,Langue parlée le plus souvent à la maison,Langues sotho-tswana,55
16796,Province,Ontario,Langue parlée le plus souvent à la maison,Swahili,2775
16797,Province,Ontario,Langue parlée le plus souvent à la maison,Wojenaka,35
16798,Province,Ontario,Langue parlée le plus souvent à la maison,Wolof,165
16799,Province,Ontario,Langue parlée le plus souvent à la maison,Yoruba,2640
16800,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues nigéro-congolaises, n.i.a.",835
16802,Province,Ontario,Langue parlée le plus souvent à la maison,Dinka,125
16803,Province,Ontario,Langue parlée le plus souvent à la maison,Nuer,185
16804,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues nilo-sahariennes, n.i.a.",460
16805,Province,Ontario,Langue parlée le plus souvent à la maison,"Africain, n.d.a.",45
16807,Province,Ontario,Langue parlée le plus souvent à la maison,Langue des signes américaine,3920
16808,Province,Ontario,Langue parlée le plus souvent à la maison,Langue des signes québécoise,50
16812,Province,Ontario,Langue parlée le plus souvent à la maison,Hakka,2540
16813,Province,Ontario,Langue parlée le plus souvent à la maison,Mandarin,253860
16814,Province,Ontario,Langue parlée le plus souvent à la maison,Min dong,650
16815,Province,Ontario,Langue parlée le plus souvent à la maison,"Min nan (chaochow, teochow, fou-kien, taïwanais)",4890
16816,Province,Ontario,Langue parlée le plus souvent à la maison,Wu (shanghaïen),2765
16817,Province,Ontario,Langue parlée le plus souvent à la maison,Yue (cantonais),193955
16818,Province,Ontario,Langue parlée le plus souvent à la maison,"Chinois, n.d.a.",3090
16819,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues chinoises, n.i.a.",110
16821,Province,Ontario,Langue parlée le plus souvent à la maison,Birman,960
16824,Province,Ontario,Langue parlée le plus souvent à la maison,Karen s’gaw,1105
16825,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues karéniques, n.i.a.",170
16826,Province,Ontario,Langue parlée le plus souvent à la maison,Tibétain,4540
16827,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues tibéto-birmanes, n.i.a.",225
16828,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues sino-tibétaines, n.i.a.",145
16830,Province,Ontario,Langue parlée le plus souvent à la maison,Lao,2395
16831,Province,Ontario,Langue parlée le plus souvent à la maison,Thaï,1520
16832,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues taï-kadaï, n.i.a.",85
16834,Province,Ontario,Langue parlée le plus souvent à la maison,Azerbaïdjanais,1445
16835,Province,Ontario,Langue parlée le plus souvent à la maison,Kazakh,40
16836,Province,Ontario,Langue parlée le plus souvent à la maison,Turc,17160
16837,Province,Ontario,Langue parlée le plus souvent à la maison,Ouïghour,490
16838,Province,Ontario,Langue parlée le plus souvent à la maison,Ouzbek,580
16839,Province,Ontario,Langue parlée le plus souvent à la maison,"Langues turques, n.i.a.",250
16841,Province,Ontario,Langue parlée le plus souvent à la maison,Estonien,485
16842,Province,Ontario,Langue parlée le plus souvent à la maison,Finnois,1140
16843,Province,Ontario,Langue parlée le plus souvent à la maison,Hongrois,10835
16844,Province,Ontario,Langue parlée le plus souvent à la maison,"Autres langues, n.i.a.",195
16846,Province,Ontario,Langue parlée le plus souvent à la maison,Français et anglais,59725
16847,Province,Ontario,Langue parlée le plus souvent à la maison,Anglais et langue(s) non officielle(s),624265
16848,Province,Ontario,Langue parlée le plus souvent à la maison,Français et langue(s) non officielle(s),6475
16849,Province,Ontario,Langue parlée le plus souvent à la maison,"Français, anglais et langue(s) non officielle(s)",12185
16850,Province,Ontario,Langue parlée le plus souvent à la maison,Langues non officielles multiples,12445
18081,Province,Ontario,Langue utilisée le plus souvent au travail,Anglais,7555160
18082,Province,Ontario,Langue utilisée le plus souvent au travail,Français,93910
18086,Province,Ontario,Langue utilisée le plus souvent au travail,Pied-noir,0
18088,Province,Ontario,Langue utilisée le plus souvent au travail,Atikamekw,0
18090,Province,Ontario,Langue utilisée le plus souvent au travail,Ililimowin (cri de Moose),0
18091,Province,Ontario,Langue utilisée le plus souvent au travail,Inu Ayimun (cri du Sud-Est),0
18092,Province,Ontario,Langue utilisée le plus souvent au travail,Iyiyiw-Ayimiwin (cri du Nord-Est),0
18093,Province,Ontario,Langue utilisée le plus souvent au travail,Nehinawewin (cri des marais),0
18094,Province,Ontario,Langue utilisée le plus souvent au travail,Nehiyawewin (cri des plaines),0
18095,Province,Ontario,Langue utilisée le plus souvent au travail,Nihithawiwin (cri des bois),0
18096,Province,Ontario,Langue utilisée le plus souvent au travail,"Cri, n.d.a.",145
18097,Province,Ontario,Langue utilisée le plus souvent au travail,Innu (montagnais),0
18098,Province,Ontario,Langue utilisée le plus souvent au travail,Naskapi,0
18100,Province,Ontario,Langue utilisée le plus souvent au travail,Mi'kmaq,0
18101,Province,Ontario,Langue utilisée le plus souvent au travail,Wolastoqewi (malécite),0
18103,Province,Ontario,Langue utilisée le plus souvent au travail,Anicinabemowin (algonquin),0
18104,Province,Ontario,Langue utilisée le plus souvent au travail,Oji-cri,465
18106,Province,Ontario,Langue utilisée le plus souvent au travail,Anishinaabemowin (chippewa),25
18108,Province,Ontario,Langue utilisée le plus souvent au travail,Saulteaux (ojibwé occidental),0
18109,Province,Ontario,Langue utilisée le plus souvent au travail,"Ojibwé, n.d.a.",535
18110,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues algonquiennes, n.i.a.",0
18113,Province,Ontario,Langue utilisée le plus souvent au travail,Dakelh (porteur),0
18114,Province,Ontario,Langue utilisée le plus souvent au travail,Dane-zaa (castor),0
18115,Province,Ontario,Langue utilisée le plus souvent au travail,"Déné, n.d.a.",0
18116,Province,Ontario,Langue utilisée le plus souvent au travail,Gwich'in,0
18118,Province,Ontario,Langue utilisée le plus souvent au travail,Deh Gah Ghotie Zhatie (esclave du Sud),0
18119,Province,Ontario,Langue utilisée le plus souvent au travail,Satuotine Yati (esclave du Nord),0
18120,Province,Ontario,Langue utilisée le plus souvent au travail,"Esclave, n.d.a.",0
18122,Province,Ontario,Langue utilisée le plus souvent au travail,Tlicho (flanc-de-chien),0
18123,Province,Ontario,Langue utilisée le plus souvent au travail,Tse'khene (sekani),0
18124,Province,Ontario,Langue utilisée le plus souvent au travail,Tsilhqot'in (chilcotin),0
18125,Province,Ontario,Langue utilisée le plus souvent au travail,Tsuu T'ina (sarsi),0
18127,Province,Ontario,Langue utilisée le plus souvent au travail,Tutchone du Nord,0
18128,Province,Ontario,Langue utilisée le plus souvent au travail,Tutchone du Sud,0
18129,Province,Ontario,Langue utilisée le plus souvent au travail,"Tutchone, n.d.a.",0
18130,Province,Ontario,Langue utilisée le plus souvent au travail,Wetsuwet'en-babine,0
18131,Province,Ontario,Langue utilisée le plus souvent au travail,Tlingit,0
18132,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues athabascanes, n.i.a.",0
18133,Province,Ontario,Langue utilisée le plus souvent au travail,Haïda,0
18136,Province,Ontario,Langue utilisée le plus souvent au travail,Inuinnaqtun,0
18137,Province,Ontario,Langue utilisée le plus souvent au travail,Inuvialuktun,0
18138,Province,Ontario,Langue utilisée le plus souvent au travail,Inuktitut,30
18139,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues inuktutes (inuites), n.i.a.",0
18141,Province,Ontario,Langue utilisée le plus souvent au travail,Mohawk,20
18142,Province,Ontario,Langue utilisée le plus souvent au travail,Oneida,0
18143,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues iroquoiennes, n.i.a.",0
18144,Province,Ontario,Langue utilisée le plus souvent au travail,Ktunaxa (kutenai),0
18145,Province,Ontario,Langue utilisée le plus souvent au travail,Michif,0
18147,Province,Ontario,Langue utilisée le plus souvent au travail,Halkomelem,0
18148,Province,Ontario,Langue utilisée le plus souvent au travail,Lillooet,0
18149,Province,Ontario,Langue utilisée le plus souvent au travail,Ntlakapamux (thompson),0
18150,Province,Ontario,Langue utilisée le plus souvent au travail,Secwepemctsin (shuswap),0
18151,Province,Ontario,Langue utilisée le plus souvent au travail,Squamish,0
18152,Province,Ontario,Langue utilisée le plus souvent au travail,Straits,0
18153,Province,Ontario,Langue utilisée le plus souvent au travail,Syilx (okanagan),0
18154,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues salishennes, n.i.a.",0
18156,Province,Ontario,Langue utilisée le plus souvent au travail,Assiniboine,0
18157,Province,Ontario,Langue utilisée le plus souvent au travail,Dakota,0
18158,Province,Ontario,Langue utilisée le plus souvent au travail,Stoney,0
18159,Province,Ontario,Langue utilisée le plus souvent au travail,"Langues siouennes, n.i.a.",0
18161,Province,Ontario,Langue utilisée le plus souvent au travail,Gitxsan (gitksan),0
18162,Province,Ontario,Langue utilisée le plus souvent au travail,Nisga'a,0
18163,Province,Ontario,Langue utilisée le plus souvent au travail,Tsimshian,0
18165,Province,Ontario,Langue utilisée le plus souvent au travail,Haisla,0
18166,Province,Ontario,Langue utilisée le plus souvent au travail,Heiltsuk,0
18167,Province,Ontario,Langue utilisée le plus souvent au travail,Kwak'wala (kwakiutl),0
