# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Sep  4 15:47:49 2023
#
# COLUMN star_name:      Star Name
# COLUMN hip_name:       HIP Name
# COLUMN hd_name:        HD Name
# COLUMN gj_name:        GJ Name
# COLUMN tm_name:        2MASS Name
# COLUMN st_exocatflag:  ExoCat List Flag
# COLUMN st_coronagflag: Exo-C List Flag
# COLUMN st_starshadeflag: Exo-S List Flag
# COLUMN st_wfirstflag:  WFIRST List Flag
# COLUMN st_lbtiflag:    LBTI List Flag
# COLUMN st_rvflag:      Known RV Data
# COLUMN st_ppnum:       Number of Planets in System
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_vmag:        V-band [mag]
# COLUMN st_vmagerr:     V-band Unc. [mag]
# COLUMN st_bmv:         B-V [mag]
# COLUMN st_bmverr:      B-V Unc. [mag]
# COLUMN st_spttype:     Spectral Type
# COLUMN st_lbol:        Stellar Bolometric Luminosity [Solar]
# COLUMN st_lbolerr:     Stellar Bolometric Luminosity Unc. [Solar]
#
star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,ra,decstr,dec,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_bmv,st_bmverr,st_spttype,st_lbol,st_lbolerr
HIP 58321,HIP 58321,,GJ 3695,2MASS J11573278+1149398,1,0,0,0,0,0,0,11h57m33.21s,179.388371,+11d49m37.8s,11.827160,24.18,1.82,-1.58,11.810,0.010,1.460,0.020,M2:,0.040,0.190
HIP 58345,HIP 58345,HD 103932,GJ 453,2MASS J11575619-2742251,1,0,0,0,0,0,0,11h57m56.92s,179.487162,-27d42m19.9s,-27.705536,10.16,0.10,-0.10,6.990,0.000,1.130,0.010,K4V,0.250,0.100
HD 103949,HIP 58374,HD 103949,,2MASS J11581172-2355257,1,0,0,0,0,0,1,11h58m11.81s,179.549229,-23d55m25.5s,-23.923756,25.63,0.79,-0.75,8.690,0.030,0.990,0.020,K3V,0.260,0.090
HD 104067,HIP 58451,HD 104067,GJ 1153,2MASS J11590999-2021129,1,0,0,0,0,0,1,11h59m09.92s,179.791337,-20d21m09.9s,-20.352751,21.07,0.43,-0.41,7.920,0.010,0.980,0.010,K2V,0.340,0.060
HIP 58576,HIP 58576,HD 104304,GJ 454,2MASS J12004444-1026452,1,0,1,0,0,1,0,12h00m44.37s,180.184864,-10d26m41.4s,-10.444839,12.76,,,5.530,0.020,0.770,0.020,G8IV,0.930,0.060
HIP 58688 A,HIP 58688 A,,GJ 2088,2MASS J12021315-3800286 A,1,0,0,0,0,0,0,12h02m13.25s,180.555202,-38d00m26.7s,-38.007409,22.92,0.95,-0.88,10.520,0.000,1.420,0.010,M0V,0.080,0.100
HIP 58803,HIP 58803,HD 104731,GJ 3701,2MASS J12033951-4226028,1,0,0,0,0,0,0,12h03m39.31s,180.913812,-42d26m01.6s,-42.433787,25.32,0.26,-0.25,5.150,0.010,0.420,0.020,F5V,4.730,0.060
HIP 58880,HIP 58880,,GJ 2090,2MASS J12043659-3816249,1,0,0,0,0,0,0,12h04m36.10s,181.150423,-38d16m22.9s,-38.273040,27.52,2.39,-2.04,11.770,0.010,1.490,0.020,M1V,0.050,0.210
HIP 58910,HIP 58910,HD 104901 B,,2MASS J12044863-6200083,1,0,0,0,0,0,0,12h04m48.83s,181.203438,-62d00m08.3s,-62.002292,5.52,1.84,-1.10,7.780,0.020,0.460,0.020,F0Ib-II,0.030,0.640
HIP 59000,HIP 59000,HD 105065,GJ 455.1,2MASS J12055065-1852304,1,0,0,0,0,0,0,12h05m50.67s,181.461122,-18d52m28.1s,-18.874477,22.00,0.68,-0.64,10.020,0.010,1.360,0.010,K5V,0.100,0.120
HIP 59072,HIP 59072,HD 105211,GJ 455.2,2MASS J12065290-6436494,1,1,0,0,0,0,0,12h06m52.85s,181.720220,-64d36m49.1s,-64.613639,19.76,,,4.140,0.020,0.350,0.010,F0IV,7.120,0.060
HIP 59198,HIP 59198,,GJ 456,2MASS J12082226-0028574,1,0,0,0,0,0,0,12h08m22.77s,182.094855,-00d28m56.7s,-0.482414,26.12,1.97,-1.71,11.250,0.010,1.410,0.020,M1,0.050,0.170
HIP 59199,HIP 59199,HD 105452,GJ 455.3,2MASS J12082481-2443440,1,1,1,0,1,0,0,12h08m24.75s,182.103136,-24d43m43.6s,-24.728780,14.94,,,4.020,0.010,0.330,0.020,F0IV/V,4.560,0.050
HIP 59272,HIP 59272,HD 105590 A,GJ 9390 A,2MASS J12092849-1151251,1,0,0,0,0,0,0,12h09m28.35s,182.368105,-11d51m24.0s,-11.856666,22.22,2.75,-2.20,6.810,0.000,0.670,0.000,G0...,0.840,0.260
HIP 59280,HIP 59280,HD 105631,GJ 3706,2MASS J12093730+4015077,1,0,0,0,0,0,0,12h09m37.50s,182.406235,+40d15m07.8s,40.252180,24.53,0.50,-0.48,7.460,0.000,0.790,0.000,K0V,0.620,0.040
HIP 59296,HIP 59296,HD 105671,GJ 456.1 A,2MASS J12095494-4612302,1,0,0,0,0,0,0,12h09m55.30s,182.480434,-46d12m29.5s,-46.208188,19.77,0.40,-0.39,8.460,0.020,1.140,0.000,K4V,0.220,0.070
HIP 59378,HIP 59378,,GJ 9393,2MASS J12105688+4103275,1,0,0,0,0,0,0,12h10m56.88s,182.737016,+41d03m26.0s,41.057218,21.58,0.90,-0.83,10.800,0.130,1.340,0.020,M2V,0.060,0.250
HIP 59406,HIP 59406,,GJ 3708 A,2MASS J12111179-1957376,1,0,0,0,0,0,0,12h11m11.89s,182.799548,-19d57m36.5s,-19.960127,12.59,0.39,-0.37,11.710,0.010,1.570,0.010,,0.020,0.120
HIP 59496,HIP 59496,HD 238087,GJ 457,2MASS J12120522+5855351,1,0,0,0,0,0,0,12h12m05.10s,183.021267,+58d55m35.0s,58.926399,28.01,0.87,-0.82,10.050,0.000,1.280,0.000,K5,0.140,0.080
HD 238090,HIP 59514,HD 238090,GJ 458 A,2MASS J12122084+5429086,1,0,0,0,0,0,1,12h12m20.63s,183.085942,+54d29m07.9s,54.485533,15.52,0.32,-0.30,9.760,0.060,1.380,0.010,M2,0.080,0.120
HIP 59602,HIP 59602,,GJ 9397,2MASS J12132044+1641396,1,0,0,0,0,0,0,12h13m20.77s,183.336539,+16d41m43.7s,16.695471,28.04,3.12,-2.55,12.020,0.010,0.880,0.100,K:,0.040,0.250
HIP 59616,HIP 59616,,,2MASS J12133287-2555240,1,0,0,0,0,0,0,12h13m32.74s,183.386421,-25d55m21.6s,-25.922674,23.41,1.23,-1.11,11.470,0.010,1.500,0.010,,0.040,0.150
HIP 59707,HIP 59707,HD 106453,,2MASS J12144214-2446306,1,0,0,0,0,0,0,12h14m42.31s,183.676272,-24d46m30.4s,-24.775104,29.32,0.60,-0.57,7.470,0.020,0.710,0.000,K0/1V+(G),0.830,0.120
HD 106515 A,HIP 59743 A,HD 106515 A,GJ 9398 A,2MASS J12150658-0715263,0,1,0,0,0,1,1,12h15m06.57s,183.777359,-07d15m26.4s,-7.257327,34.12,0.08,-0.08,7.972,0.014,0.821,0.025,G5,1.230,
HIP 59748,HIP 59748,,GJ 458.2,2MASS J12150885+4843574,1,0,0,0,0,0,0,12h15m09.05s,183.787728,+48d43m57.7s,48.732701,24.88,1.31,-1.18,10.550,0.010,1.410,0.010,M2V,0.100,0.110
HIP 59750,HIP 59750,HD 106516,,2MASS J12151055-1018440,1,0,0,0,0,0,0,12h15m10.54s,183.793912,-10d18m35.8s,-10.309940,22.35,0.46,-0.44,6.110,0.010,0.470,0.010,F6V,1.560,0.050
HIP 59774,HIP 59774,HD 106591,GJ 459,2MASS J12152554+5701575,1,1,0,0,1,0,0,12h15m25.45s,183.856038,+57d01m57.4s,57.032598,24.69,,,3.280,0.020,0.080,0.010,A3Vvar,26.090,0.060
HIP 59780 A,HIP 59780 A,HD 106549,,2MASS J12152709-3105387 A,1,0,0,0,0,0,0,12h15m26.96s,183.862329,-31d05m38.2s,-31.093949,21.40,1.13,-1.02,9.780,0.070,1.380,0.010,K5V,0.130,0.190
HIP 59816 A,HIP 59816 A,,GJ 9400 A,2MASS J12155833+0538250 A,1,0,0,0,0,0,0,12h15m58.52s,183.993826,+05d38m25.2s,5.640322,28.99,3.22,-2.64,9.450,0.000,1.220,0.000,K8,0.230,0.230
HIP 60074,HIP 60074,HD 107146,,2MASS J12190650+1632541,1,0,0,0,0,0,0,12h19m06.61s,184.777535,+16d32m55.2s,16.548657,27.46,0.28,-0.27,7.040,0.020,0.600,0.000,G2V,1.030,0.060
HIP 60093,HIP 60093,,GJ 459.3,2MASS J12192407+2822566,1,0,0,0,0,0,0,12h19m24.52s,184.852167,+28d22m55.8s,28.382179,25.38,1.34,-1.21,10.620,0.010,1.440,0.010,M2V,0.100,0.140
HIP 60121,HIP 60121,,,2MASS J12194808+5246450,1,0,0,0,0,0,0,12h19m48.23s,184.950946,+52d46m46.1s,52.779463,27.96,1.78,-1.58,11.030,0.240,1.560,0.080,M0,0.070,0.440
HIP 60207,HIP 60207,HD 107388,,2MASS J12204687-1953458,1,0,0,0,0,0,0,12h20m47.05s,185.196055,-19d53m45.3s,-19.895913,29.04,0.90,-0.85,8.970,0.040,1.010,0.000,K3V,0.260,0.120
HIP 60303,HIP 60303,HD 107596,GJ 462,2MASS J12215407+4208018,1,0,0,0,0,0,0,12h21m53.94s,185.474736,+42d08m06.5s,42.135142,15.85,0.32,-0.31,9.400,0.050,1.350,0.010,M0V,0.090,0.110
HIP 60310,HIP 60310,HD 107576,,2MASS J12215984-4103331,1,0,0,0,0,0,0,12h21m59.84s,185.499324,-41d03m32.3s,-41.058978,24.69,0.76,-0.72,8.540,0.000,1.060,0.000,K4V,0.290,0.070
HIP 60343,HIP 60343,,GJ 3721,2MASS J12222126+2510118,1,0,0,0,0,0,0,12h22m21.72s,185.590500,+25d10m13.6s,25.170455,29.91,2.25,-1.96,11.350,0.010,1.350,0.020,M:,0.070,0.180
HIP 60353,HIP 60353,HD 107705,,2MASS J12223203+0518197,1,0,0,0,0,0,0,12h22m32.14s,185.633902,+05d18m20.1s,5.305574,29.92,0.61,-0.59,6.470,0.020,0.570,0.020,F8V,2.020,0.070
HIP 60370,HIP 60370,HD 107692,,2MASS J12224478-3910396,1,0,0,0,0,0,0,12h22m44.68s,185.686151,-39d10m38.4s,-39.177322,25.49,0.26,-0.25,6.700,0.000,0.640,0.000,G3IV/V,1.210,0.030
HIP 60398,HIP 60398,,GJ 463,2MASS J12230024+6401506,1,0,0,0,0,0,0,12h23m01.05s,185.754394,+64d01m47.7s,64.029918,18.34,0.76,-0.71,11.630,0.200,1.610,0.080,M4,0.030,0.350
HIP 60444 A,HIP 60444 A,,GJ 3722,2MASS J12233316+6711184 A,1,0,0,0,0,0,0,12h23m32.83s,185.886798,+67d11m19.0s,67.188610,12.90,0.54,-0.50,11.540,0.230,0.950,0.230,M2.5,0.020,0.390
HIP 60475,HIP 60475,HD 107888,GJ 464,2MASS J12235353+1234491,1,0,0,0,0,0,0,12h23m53.53s,185.973037,+12d34m50.4s,12.580663,21.00,1.11,-1.00,10.390,0.010,1.440,0.010,K5,0.080,0.130
HIP 60559,HIP 60559,,GJ 465,2MASS J12245243-1814303,1,0,0,0,0,0,0,12h24m51.83s,186.215958,-18d14m12.0s,-18.236679,8.85,0.18,-0.17,11.270,0.010,1.590,0.010,M4,0.010,0.110
HIP 60605,HIP 60605,HD 108153,,2MASS J12251851+3151513,1,0,0,0,0,0,0,12h25m18.75s,186.328120,+31d51m53.4s,31.864834,28.67,0.89,-0.84,8.690,0.030,0.900,0.010,K0V,0.310,0.090
HIP 60729,HIP 60729,HD 108309,GJ 9406,2MASS J12264817-4854472,1,0,0,1,0,0,0,12h26m48.71s,186.702966,-48d54m46.8s,-48.912998,26.61,0.27,-0.26,6.250,0.000,0.670,0.000,G3/5V,2.020,0.030
HIP 60759 A,HIP 60759 A,HD 108421 A,GJ 3725 A,2MASS J12271374+2701303 A,1,0,0,0,0,0,0,12h27m13.65s,186.806895,+27d01m31.0s,27.025285,27.21,0.56,-0.53,8.910,0.040,1.040,0.010,K2V,0.360,0.100
HIP 60783,HIP 60783,,,2MASS J12272945+3726332,1,0,0,0,0,0,0,12h27m29.58s,186.873268,+37d26m32.5s,37.442361,25.37,2.82,-2.31,11.850,0.350,0.700,0.200,,0.030,0.670
HIP 60816,HIP 60816,HD 108510,,2MASS J12275548-0840408,1,0,0,0,0,0,0,12h27m55.62s,186.981764,-08d40m40.5s,-8.677905,29.83,0.61,-0.58,6.740,0.020,0.580,0.010,G1V,1.580,0.060
HIP 60853,HIP 60853,HD 108564,,2MASS J12281919-1654398,1,0,0,0,0,0,0,12h28m19.46s,187.081087,-16d54m40.2s,-16.911159,27.19,0.84,-0.79,9.450,0.010,0.960,0.010,K2V,0.160,0.070
HIP 60866,HIP 60866,HD 108581,GJ 468,2MASS J12283157-1817499,1,0,0,0,0,0,0,12h28m31.49s,187.131203,-18d17m48.7s,-18.296859,24.59,0.76,-0.72,9.230,0.010,1.230,0.010,K4V,0.200,0.070
HIP 60910,HIP 60910,,GJ 469,2MASS J12285759+0825316,1,0,0,0,0,0,0,12h28m57.96s,187.241498,+08d25m34.1s,8.426146,13.18,0.69,-0.63,12.050,0.010,1.570,0.010,M:,0.020,0.160
HIP 60965,HIP 60965,HD 108767,,2MASS J12295187-1630552,1,1,0,0,1,0,0,12h29m51.98s,187.466597,-16d30m54.3s,-16.515094,26.63,,,2.930,0.020,-0.010,0.020,B9.5V,57.790,0.060
HIP 60970,HIP 60970,,,2MASS J12295503+3626421,1,0,0,0,0,0,0,12h29m54.94s,187.478911,+36d26m43.3s,36.445373,26.35,3.26,-2.61,12.020,0.430,0.800,0.200,,0.040,0.810
HIP 60994 A,HIP 60994 A,HD 108799,GJ 469.2 A,2MASS J12300479-1323350 A,1,0,0,0,0,0,0,12h30m04.93s,187.520548,-13d23m35.0s,-13.393052,24.65,0.25,-0.24,6.420,0.020,0.560,0.020,G1/2V,1.490,0.060
HIP 61016,HIP 61016,HD 108847,,2MASS J12301761+3059397,1,0,0,0,0,0,0,12h30m17.63s,187.573476,+30d59m39.0s,30.994160,29.98,1.25,-1.15,9.100,0.050,1.020,0.010,G9V,0.240,0.140
HIP 61053,HIP 61053,HD 108954,,2MASS J12305012+5304357,1,0,0,0,0,0,0,12h30m50.12s,187.708822,+53d04m34.2s,53.076166,21.78,0.22,-0.22,6.200,0.020,0.560,0.020,F9V,1.380,0.040
HIP 61084,HIP 61084,HD 108903,GJ 470,2MASS J12310993-5706474,1,1,0,0,0,0,0,12h31m09.93s,187.791372,-57d06m45.2s,-57.112569,27.15,,,1.650,0.010,1.520,0.010,M4III,878.370,0.090
HIP 61094,HIP 61094,,GJ 471,2MASS J12311578+0848380,1,0,0,0,0,0,0,12h31m16.18s,187.817419,+08d48m42.7s,8.811870,13.65,0.28,-0.27,9.660,0.010,1.470,0.010,M0:,0.070,0.100
HIP 61099,HIP 61099,HD 108984,,2MASS J12311829+2013041,1,0,0,0,0,0,0,12h31m18.31s,187.826276,+20d13m05.6s,20.218229,25.82,0.53,-0.51,7.910,0.020,0.870,0.020,K0,0.470,0.070
HIP 61100,HIP 61100,HD 109011,GJ 1160,2MASS J12311893+5507078,1,0,0,0,0,0,0,12h31m18.81s,187.828390,+55d07m07.8s,55.118845,25.10,0.78,-0.73,8.110,0.020,0.940,0.000,K2V,0.440,0.080
HIP 61174,HIP 61174,HD 109085,GJ 471.2,2MASS J12320424-1611455,1,1,0,0,1,0,0,12h32m04.48s,188.018687,-16d11m45.1s,-16.195866,18.28,,,4.300,0.010,0.390,0.010,F2V,5.240,0.050
HIP 61291,HIP 61291,HD 109200,GJ 472,2MASS J12333137-6845211,1,0,0,0,0,0,0,12h33m32.26s,188.384424,-68d45m18.2s,-68.755049,16.18,0.16,-0.16,7.140,0.010,0.850,0.010,K1V,0.380,0.040
HIP 61317,HIP 61317,HD 109358,GJ 475,2MASS J12334454+4121270,1,1,1,0,0,1,0,12h33m45.09s,188.437886,+41d21m24.4s,41.356768,8.44,,,4.240,0.020,0.590,0.010,G0V,1.270,0.060
HIP 61329,HIP 61329,HD 109333,GJ 3735,2MASS J12335976-1438191,1,0,0,0,0,0,0,12h34m00.05s,188.500200,-14d38m18.9s,-14.638597,26.17,0.81,-0.76,9.100,0.010,1.100,0.020,K3/4V,0.210,0.080
HIP 61379,HIP 61379,HD 109409,,2MASS J12344240-4440227,1,0,0,0,0,0,0,12h34m42.46s,188.676902,-44d40m21.1s,-44.672517,28.32,0.29,-0.28,5.760,0.020,0.680,0.000,G0/2V,3.680,0.110
HIP 61413,HIP 61413,,GJ 476,2MASS J12350069+0949425,1,0,0,0,0,0,0,12h35m00.97s,188.754047,+09d49m45.4s,9.829266,18.28,1.17,-1.03,11.410,0.010,1.450,0.010,M4,0.030,0.160
HIP 61451,HIP 61451,HD 109524,GJ 1161 A,2MASS J12353357-3452547,1,0,0,0,0,0,0,12h35m33.71s,188.890478,-34d52m53.7s,-34.881592,21.43,0.22,-0.21,7.840,0.020,1.020,0.000,K4V,0.440,0.060
HIP 61481,HIP 61481,HD 109647,,2MASS J12355128+5113172,1,0,0,0,0,0,0,12h35m51.18s,188.963263,+51d13m17.3s,51.221485,26.97,0.83,-0.79,8.520,0.020,0.950,0.020,K0,0.330,0.090
HIP 61495,HIP 61495,,GJ 477,2MASS J12355841-4556202,1,0,0,0,0,0,0,12h35m58.50s,188.993732,-45d56m14.6s,-45.937400,18.99,1.21,-1.07,11.090,0.010,1.480,0.010,M1,0.050,0.160
HIP 61629,HIP 61629,,GJ 479,2MASS J12375231-5200055,1,0,0,0,0,0,0,12h37m53.20s,189.471653,-52d00m05.6s,-52.001550,9.69,0.20,-0.19,10.660,0.010,1.540,0.010,M3,0.030,0.110
GJ 480,HIP 61706,,GJ 480,2MASS J12385241+1141461,1,0,0,0,0,0,1,12h38m53.13s,189.721374,+11d41m48.3s,11.696761,14.37,0.60,-0.55,11.490,0.000,1.480,0.000,M4,0.030,0.130
HIP 61722,HIP 61722,,GJ 3738,2MASS J12390461+4702234,1,0,0,0,0,0,0,12h39m04.37s,189.768200,+47d02m24.1s,47.040027,21.79,2.42,-1.98,11.960,0.370,1.720,0.370,M2,0.030,0.700
HIP 61792 A,HIP 61792 A,HD 109952 A,GJ 2096,2MASS J12395106-7750360 A,1,0,0,0,0,0,0,12h39m53.49s,189.972860,-77d50m38.9s,-77.844129,26.36,1.39,-1.26,9.220,0.040,1.150,0.040,K5V,0.250,0.150
HIP 61874,HIP 61874,,GJ 480.1,2MASS J12404633-4333595,1,0,0,0,0,0,0,12h40m46.92s,190.195493,-43d34m05.0s,-43.568062,7.78,0.24,-0.23,12.240,0.010,1.730,0.010,M4,0.000,0.120
HIP 61901,HIP 61901,HD 110315,GJ 481,2MASS J12410647+1522359,1,0,0,0,0,0,0,12h41m06.41s,190.276703,+15d22m39.3s,15.377570,14.18,0.14,-0.14,7.890,0.010,1.140,0.010,K2,0.210,0.050
HIP 61941 A,HIP 61941 A,HD 110379,GJ 482 A,2MASS J12413962-0126580 A,1,1,1,0,0,0,0,12h41m40.00s,190.416676,-01d26m58.3s,-1.449522,11.68,0.12,-0.12,3.440,0.020,0.360,0.020,F1V,5.280,0.060
HIP 61946,HIP 61946,HD 110463,GJ 3743,2MASS J12414450+5543288,1,0,0,0,0,0,0,12h41m44.40s,190.434980,+55d43m28.9s,55.724685,23.38,0.48,-0.46,8.270,0.000,0.960,0.000,K3V,0.300,0.050
HIP 62107,HIP 62107,HD 110619,,2MASS J12434277-3742291,1,0,0,0,0,0,0,12h43m43.19s,190.929945,-37d42m27.5s,-37.707637,27.31,0.56,-0.54,7.530,0.000,0.660,0.010,G5V,0.670,0.040
HIP 62145,HIP 62145,HD 110833,GJ 483,2MASS J12441457+5145336,1,0,0,1,0,0,0,12h44m14.90s,191.062094,+51d45m35.1s,51.759749,14.88,0.15,-0.15,7.010,0.020,0.940,0.010,K3V,0.380,0.050
HIP 62207,HIP 62207,HD 110897,GJ 484,2MASS J12445938+3916441,1,0,0,0,0,0,0,12h44m59.68s,191.248651,+39d16m42.9s,39.278578,17.38,0.18,-0.17,5.950,0.020,0.560,0.010,G0V,1.120,0.040
HIP 62229,HIP 62229,HD 110810,,2MASS J12451439-5721288,1,0,0,0,0,0,0,12h45m14.63s,191.310961,-57d21m27.7s,-57.357683,20.50,0.42,-0.40,7.820,0.000,0.940,0.000,K3V,0.340,0.050
HIP 62374,HIP 62374,,GJ 3748,2MASS J12470102+4637334,1,0,0,0,0,0,0,12h47m01.64s,191.756834,+46d37m36.0s,46.626663,20.93,1.10,-1.00,11.970,0.240,1.370,0.240,K:...,0.040,0.420
HIP 62406,HIP 62406,,GJ 485,2MASS J12472011+3112494,1,0,0,0,0,0,0,12h47m20.10s,191.833741,+31d12m51.1s,31.214206,28.35,0.88,-0.83,9.860,0.010,1.270,0.010,K4V,0.170,0.130
GJ 486,HIP 62452,,GJ 486,2MASS J12475664+0945050,1,0,0,0,0,0,1,12h47m57.22s,191.988422,+09d45m09.1s,9.752518,8.37,0.17,-0.16,11.390,0.000,1.560,0.000,M4,0.010,0.100
HIP 62471,HIP 62471,,GJ 1164 B,2MASS J12481003-2448169,1,0,0,0,0,0,0,12h48m10.20s,192.042484,-24d48m18.0s,-24.804994,16.76,9.02,-4.35,9.790,0.100,1.380,0.040,K0,0.070,1.030
HIP 62472,HIP 62472,HD 111261,GJ 1164 A,2MASS J12481074-2448240,1,0,0,0,0,0,0,12h48m10.91s,192.045449,-24d48m25.2s,-24.807013,20.38,1.77,-1.51,8.900,0.000,1.150,0.010,K4/5V,0.180,0.180
HIP 62505 A,HIP 62505 A,HD 111312,GJ 1165,2MASS J12483229-1543102 A,1,0,0,0,0,0,0,12h48m32.26s,192.134415,-15d43m10.5s,-15.719582,23.83,1.79,-1.56,7.870,0.010,0.940,0.010,K2V,0.440,0.170
HIP 62512,HIP 62512,HD 111456,GJ 9417,2MASS J12483942+6019115,1,0,0,0,0,0,0,12h48m39.34s,192.163903,+60d19m11.6s,60.319897,24.04,1.53,-1.36,5.830,0.020,0.470,0.020,F5V,2.340,0.160
HIP 62523,HIP 62523,HD 111395,GJ 486.1,2MASS J12484706+2450250,1,0,0,0,0,0,0,12h48m47.26s,192.196931,+24d50m25.7s,24.840484,16.93,0.17,-0.17,6.290,0.020,0.700,0.000,G7V,0.810,0.040
HD 111232,HIP 62534,HD 111232,,2MASS J12485177-6825304,1,0,0,0,0,1,1,12h48m51.71s,192.215459,-68d25m31.5s,-68.425425,29.34,0.60,-0.58,7.590,0.000,0.700,0.000,G8V,0.740,0.060
HIP 62556,HIP 62556,,GJ 487,2MASS J12490273+6606366,1,0,0,0,0,0,0,12h49m03.38s,192.264096,+66d06m37.6s,66.110441,10.21,0.21,-0.20,10.940,0.010,1.630,0.010,M4,0.030,0.100
HIP 62687,HIP 62687,HD 111631,GJ 488,2MASS J12504357-0046047,1,0,0,0,0,0,0,12h50m43.58s,192.681601,-00d46m01.8s,-0.767165,10.57,0.11,-0.10,8.470,0.010,1.420,0.010,M0V,0.110,0.040
HIP 62942,HIP 62942,HD 112099,,2MASS J12535441+0645463,1,0,0,0,0,0,0,12h53m54.54s,193.477230,+06d45m45.6s,6.762673,26.73,0.83,-0.78,8.240,0.010,0.850,0.020,G5,0.380,0.080
HIP 62951,HIP 62951,,,2MASS J12535879-1802056,1,0,0,0,0,0,0,12h53m58.73s,193.494714,-18d02m06.0s,-18.035001,7.53,3.08,-1.69,8.410,0.010,0.540,0.010,A2,0.030,0.750
HIP 62956,HIP 62956,HD 112185,,2MASS J12540170+5557349,1,1,0,0,0,0,0,12h54m01.63s,193.506804,+55d57m35.4s,55.959843,25.31,0.26,-0.25,1.760,0.000,-0.020,0.000,A0p,134.690,0.050
HIP 63028,HIP 63028,HD 112311 B,,2MASS J12545724+5809387,1,0,0,0,0,0,0,12h54m57.25s,193.738521,+58d09m39.3s,58.160904,24.20,7.64,-4.68,9.740,0.040,1.170,0.020,G5,0.120,0.650
HIP 63076,HIP 63076,HD 112429,,2MASS J12552855+6526185,1,0,0,0,0,0,0,12h55m28.56s,193.868980,+65d26m18.8s,65.438547,29.29,0.30,-0.29,5.230,0.020,0.290,0.020,A5n,5.760,0.040
HIP 63125,HIP 63125,HD 112413,,2MASS J12560168+3819059,0,1,0,0,0,0,0,12h56m01.67s,194.006943,+38d19m06.2s,38.318378,33.78,1.15,-1.23,2.890,,-0.120,,A0 II-IIIp SiEuCr,,
HIP 63253 A,HIP 63253 A,,GJ 490 A,2MASS J12574030+3513306,1,0,0,0,0,0,0,12h57m40.45s,194.418536,+35d13m31.5s,35.225420,19.26,1.23,-1.09,10.570,0.010,1.420,0.010,M0Vvar,0.070,0.160
HIP 63257,HIP 63257,HD 112575,GJ 489,2MASS J12574396-1427486,1,0,0,0,0,0,0,12h57m44.17s,194.434030,-14d27m48.8s,-14.463568,24.03,1.00,-0.92,9.130,0.010,1.120,0.010,K4V,0.180,0.100
HIP 63366,HIP 63366,HD 112758,GJ 491 A,2MASS J12590162-0950029 A,1,0,0,0,0,0,0,12h59m02.05s,194.758550,-09d50m04.4s,-9.834562,20.89,0.43,-0.41,7.590,0.010,0.800,0.010,K0V,0.430,0.060
HIP 63406,HIP 63406,HD 112914,,2MASS J12593278+4159126,1,0,0,0,0,0,0,12h59m32.97s,194.887360,+41d59m10.8s,41.986324,25.18,0.78,-0.73,8.610,0.020,0.940,0.020,G9V,0.270,0.090
HIP 63467,HIP 63467,HD 112943,GJ 493,2MASS J13001704-0242172,1,0,0,0,0,0,0,13h00m17.47s,195.072774,-02d42m17.3s,-2.704803,26.39,1.10,-1.02,9.780,0.000,1.190,0.000,K4/5V,0.140,0.100
HIP 63480,HIP 63480,,,2MASS J13002579-3436243,1,0,0,0,0,0,0,13h00m25.84s,195.107670,-34d36m25.0s,-34.606934,19.74,0.82,-0.76,10.630,0.010,1.460,0.010,Mp,0.060,0.130
HIP 63503 A,HIP 63503 A,HD 113139,,2MASS J13004371+5621588 A,1,0,0,0,0,0,0,13h00m43.59s,195.181607,+56d21m58.8s,56.366331,25.45,0.26,-0.25,4.930,0.010,0.370,0.010,F2V,5.790,0.040
Ross 458,HIP 63510,,GJ 494,2MASS J13004666+1222325,1,0,0,0,0,0,1,13h00m46.95s,195.195631,+12d22m32.7s,12.375764,11.69,0.24,-0.23,9.760,0.000,1.450,0.000,M2,0.060,0.100
HIP 63550,HIP 63550,,GJ 3759,2MASS J13011965-6311422,1,0,0,0,0,0,0,13h01m20.15s,195.333970,-63d11m38.6s,-63.194052,16.97,0.71,-0.65,10.930,0.010,1.510,0.010,,0.040,0.140
HIP 63608,HIP 63608,HD 113226,,2MASS J13021059+1057329,0,1,0,0,0,0,0,13h02m10.60s,195.544159,+10d57m32.9s,10.959150,31.35,0.83,-0.88,2.840,,0.940,,G8 III,,
HIP 63613,HIP 63613,HD 112985,,2MASS J13021624-7132554,1,1,0,0,0,0,0,13h02m15.78s,195.565740,-71d32m55.7s,-71.548799,27.87,0.28,-0.28,3.600,0.020,1.190,0.020,K2III,47.110,0.110
