champ,description_question,variable_reponse,description_reponse,,,,,,
Q50r2,"Q50r2: Des horaires différents - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou en",0,NO TO: Des horaires différents,,,,,,
Q50r2,"Q50r2: Des horaires différents - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou en",1,Des horaires différents,,,,,,
Q50r3,"Q50r3: Adaptation des locaux pour être universellement accessibles - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par",0,NO TO: Adaptation des locaux pour être universellement accessibles,,,,,,
Q50r3,"Q50r3: Adaptation des locaux pour être universellement accessibles - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par",1,Adaptation des locaux pour être universellement accessibles,,,,,,
Q50r4,"Q50r4: Service de garde - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore un",0,NO TO: Service de garde,,,,,,
Q50r4,"Q50r4: Service de garde - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore un",1,Service de garde,,,,,,
Q50r96,"Q50r96: Autre (PRÉCISER) - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore u",0,NO TO: Autre (PRÉCISER),,,,,,
Q50r96,"Q50r96: Autre (PRÉCISER) - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore u",1,Autre (PRÉCISER),,,,,,
Q50r97,"Q50r97: Rien, je n’ai aucun intérêt à participer à ce genre d’activités - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisé",0,"NO TO: Rien, je n’ai aucun intérêt à participer à ce genre d’activités",,,,,,
Q50r97,"Q50r97: Rien, je n’ai aucun intérêt à participer à ce genre d’activités - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisé",1,"Rien, je n’ai aucun intérêt à participer à ce genre d’activités",,,,,,
Q50r98,"Q50r98: Je ne sais pas - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore un ",0,NO TO: Je ne sais pas,,,,,,
Q50r98,"Q50r98: Je ne sais pas - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville ou encore un ",1,Je ne sais pas,,,,,,
Q50r99,"Q50r99: Je préfère ne pas répondre - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville o",0,NO TO: Je préfère ne pas répondre,,,,,,
Q50r99,"Q50r99: Je préfère ne pas répondre - Qu’est-ce qui vous aiderait à davantage participer à des activités tel qu’une consultation publique de l’Office de Consultation Publique de Montréal, une assemblée publique organisée par un arrondissement de la Ville o",1,Je préfère ne pas répondre,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,1,Beaucoup,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,2,Assez,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,3,Pas beaucoup,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,4,Pas du tout,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,8,Je ne sais pas,,,,,,
Q51A,Q51A: Vous sentez-vous préoccupés par les changements climatiques?,9,Je préfère ne pas répondre,,,,,,
Q51Br2,"Q51Br2: Diminuer les émissions de Gaz à effet de serre-GES (utilisation des transports en commun, mise en place de mesure d’efficacité énergétique de votre logement, optimisation des trajets) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? ",0,"NO TO: Diminuer les émissions de Gaz à effet de serre-GES (utilisation des transports en commun, mise en place de mesure d’efficacité énergétique de votre logement, optimisation des trajets)",,,,,,
Q51Br2,"Q51Br2: Diminuer les émissions de Gaz à effet de serre-GES (utilisation des transports en commun, mise en place de mesure d’efficacité énergétique de votre logement, optimisation des trajets) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? ",1,"Diminuer les émissions de Gaz à effet de serre-GES (utilisation des transports en commun, mise en place de mesure d’efficacité énergétique de votre logement, optimisation des trajets)",,,,,,
Q51Br3,"Q51Br3: Diminuer la quantité de ressources consommées - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",0,NO TO: Diminuer la quantité de ressources consommées,,,,,,
Q51Br3,"Q51Br3: Diminuer la quantité de ressources consommées - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",1,Diminuer la quantité de ressources consommées,,,,,,
Q51Br4,"Q51Br4: Acheter local - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",0,NO TO: Acheter local,,,,,,
Q51Br4,"Q51Br4: Acheter local - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",1,Acheter local,,,,,,
Q51Br5,"Q51Br5: Recycler et composter - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",0,NO TO: Recycler et composter,,,,,,
Q51Br5,"Q51Br5: Recycler et composter - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de prod",1,Recycler et composter,,,,,,
Q51Br6,"Q51Br6: Pratiquer l’agriculture urbaine (exemple : jardin communautaire, jardinage et ruelle verte) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",0,"NO TO: Pratiquer l’agriculture urbaine (exemple : jardin communautaire, jardinage et ruelle verte)",,,,,,
Q51Br6,"Q51Br6: Pratiquer l’agriculture urbaine (exemple : jardin communautaire, jardinage et ruelle verte) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition",1,"Pratiquer l’agriculture urbaine (exemple : jardin communautaire, jardinage et ruelle verte)",,,,,,
Q51Br96,"Q51Br96: Autre (PRÉCISER) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire",0,NO TO: Autre (PRÉCISER),,,,,,
Q51Br96,"Q51Br96: Autre (PRÉCISER) - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire",1,Autre (PRÉCISER),,,,,,
Q51Br97,"Q51Br97: Ce n’est pas une priorité pour moi - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de cons",0,NO TO: Ce n’est pas une priorité pour moi,,,,,,
Q51Br97,"Q51Br97: Ce n’est pas une priorité pour moi - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de cons",1,Ce n’est pas une priorité pour moi,,,,,,
Q51Br98,"Q51Br98: Je ne sais pas - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, ",0,NO TO: Je ne sais pas,,,,,,
Q51Br98,"Q51Br98: Je ne sais pas - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",1,Je ne sais pas,,,,,,
Q51Br99,"Q51Br99: Je préfère ne pas répondre - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",0,NO TO: Je préfère ne pas répondre,,,,,,
Q51Br99,"Q51Br99: Je préfère ne pas répondre - Dans les douze derniers mois, avez-vous pris l’une ou plusieurs des actions suivantes pour contribuer à la « transition écologique »? 
N.B. La transition écologique c’est aller vers de nouvelles façons de consommer, de produire, de travailler, de vivre ensemble pour répondre aux grands enjeux environnementaux et sociaux. C’est transiter vers un nouveau modèle économique et social, sobre en carbone et résilient.",1,Je préfère ne pas répondre,,,,,,
Q52r1,"Q52r1: Votre sexe? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r1,"Q52r1: Votre sexe? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r1,"Q52r1: Votre sexe? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r1,"Q52r1: Votre sexe? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r2,"Q52r2: Votre appartenance ethnique ou nationale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r2,"Q52r2: Votre appartenance ethnique ou nationale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r2,"Q52r2: Votre appartenance ethnique ou nationale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r2,"Q52r2: Votre appartenance ethnique ou nationale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r3,"Q52r3: La couleur de votre peau? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r3,"Q52r3: La couleur de votre peau? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r3,"Q52r3: La couleur de votre peau? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r3,"Q52r3: La couleur de votre peau? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r4,"Q52r4: Votre condition sociale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r4,"Q52r4: Votre condition sociale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r4,"Q52r4: Votre condition sociale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r4,"Q52r4: Votre condition sociale? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r5,"Q52r5: Votre religion? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r5,"Q52r5: Votre religion? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r5,"Q52r5: Votre religion? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r5,"Q52r5: Votre religion? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r6,"Q52r6: Votre orientation sexuelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r6,"Q52r6: Votre orientation sexuelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r6,"Q52r6: Votre orientation sexuelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r6,"Q52r6: Votre orientation sexuelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r7,"Q52r7: Votre âge? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r7,"Q52r7: Votre âge? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r7,"Q52r7: Votre âge? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r7,"Q52r7: Votre âge? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r8,"Q52r8: Une limitation fonctionnelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r8,"Q52r8: Une limitation fonctionnelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r8,"Q52r8: Une limitation fonctionnelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r8,"Q52r8: Une limitation fonctionnelle? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r9,"Q52r9: Votre langue ou votre accent? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r9,"Q52r9: Votre langue ou votre accent? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r9,"Q52r9: Votre langue ou votre accent? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r9,"Q52r9: Votre langue ou votre accent? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q52r96,"Q52r96: Pour une autre raison (PRÉCISER)? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",1,Oui,,,,,,
Q52r96,"Q52r96: Pour une autre raison (PRÉCISER)? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",2,Non,,,,,,
Q52r96,"Q52r96: Pour une autre raison (PRÉCISER)? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",8,Je ne sais pas,,,,,,
Q52r96,"Q52r96: Pour une autre raison (PRÉCISER)? - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, croyez-vous avoir été victime de discrimination ou traité injustement par d’autres personnes, à Montréal, à cause de...",9,Je préfère ne pas répondre,,,,,,
Q53r1,"Q53r1: Dans les transports en commun - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Dans les transports en commun,,,,,,
Q53r1,"Q53r1: Dans les transports en commun - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Dans les transports en commun,,,,,,
Q53r2,"Q53r2: Dans un magasin, banque ou autres commerces - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,"NO TO: Dans un magasin, banque ou autres commerces",,,,,,
Q53r2,"Q53r2: Dans un magasin, banque ou autres commerces - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,"Dans un magasin, banque ou autres commerces",,,,,,
Q53r3,"Q53r3: Lors de la recherche d’emploi ou dans le milieu du travail - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Lors de la recherche d’emploi ou dans le milieu du travail,,,,,,
Q53r3,"Q53r3: Lors de la recherche d’emploi ou dans le milieu du travail - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Lors de la recherche d’emploi ou dans le milieu du travail,,,,,,
Q53r4,"Q53r4: Lors de la location ou de l'achat d'un domicile ou lors de son occupation - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Lors de la location ou de l'achat d'un domicile ou lors de son occupation,,,,,,
Q53r4,"Q53r4: Lors de la location ou de l'achat d'un domicile ou lors de son occupation - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Lors de la location ou de l'achat d'un domicile ou lors de son occupation,,,,,,
Q53r5,"Q53r5: Dans le voisinage ou en contact avec les voisins seulement - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Dans le voisinage ou en contact avec les voisins seulement,,,,,,
Q53r5,"Q53r5: Dans le voisinage ou en contact avec les voisins seulement - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Dans le voisinage ou en contact avec les voisins seulement,,,,,,
Q53r6,"Q53r6: Lors de l’obtention de services publics (municipaux, provinciaux ou fédéraux) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,"NO TO: Lors de l’obtention de services publics (municipaux, provinciaux ou fédéraux)",,,,,,
Q53r6,"Q53r6: Lors de l’obtention de services publics (municipaux, provinciaux ou fédéraux) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,"Lors de l’obtention de services publics (municipaux, provinciaux ou fédéraux)",,,,,,
Q53r7,"Q53r7: Dans des espaces publics (rue, etc.) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,"NO TO: Dans des espaces publics (rue, etc.)",,,,,,
Q53r7,"Q53r7: Dans des espaces publics (rue, etc.) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,"Dans des espaces publics (rue, etc.)",,,,,,
Q53r8,"Q53r8: Dans des installations publiques (parcs, bibliothèque, installations sportives, etc.) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,"NO TO: Dans des installations publiques (parcs, bibliothèque, installations sportives, etc.)",,,,,,
Q53r8,"Q53r8: Dans des installations publiques (parcs, bibliothèque, installations sportives, etc.) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,"Dans des installations publiques (parcs, bibliothèque, installations sportives, etc.)",,,,,,
Q53r96,"Q53r96: Dans d'autres endroits ou situations (Préciser) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Dans d'autres endroits ou situations (Préciser),,,,,,
Q53r96,"Q53r96: Dans d'autres endroits ou situations (Préciser) - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Dans d'autres endroits ou situations (Préciser),,,,,,
Q53r98,"Q53r98: Je ne sais pas - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Je ne sais pas,,,,,,
Q53r98,"Q53r98: Je ne sais pas - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Je ne sais pas,,,,,,
Q53r99,"Q53r99: Je préfère ne pas répondre - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",0,NO TO: Je préfère ne pas répondre,,,,,,
Q53r99,"Q53r99: Je préfère ne pas répondre - Au cours des cinq dernières années, ou depuis votre arrivée à Montréal, dans quels types de situations avez–vous été victime de discrimination?",1,Je préfère ne pas répondre,,,,,,
Q54r1,"Q54r1: Véhicule automobile - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",1,Item 1,,,,,,
Q54r1,"Q54r1: Véhicule automobile - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",2,Item 2,,,,,,
Q54r1,"Q54r1: Véhicule automobile - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",3,Item 3,,,,,,
Q54r2,"Q54r2: Taxi - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",1,Item 1,,,,,,
Q54r2,"Q54r2: Taxi - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",2,Item 2,,,,,,
Q54r2,"Q54r2: Taxi - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",3,Item 3,,,,,,
Q54r3,"Q54r3: Transports en commun comme autobus, transport en commun rapide, métro ou train - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",1,Item 1,,,,,,
Q54r3,"Q54r3: Transports en commun comme autobus, transport en commun rapide, métro ou train - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",2,Item 2,,,,,,
Q54r3,"Q54r3: Transports en commun comme autobus, transport en commun rapide, métro ou train - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",3,Item 3,,,,,,
Q54r4,"Q54r4: Transport adapté - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",1,Item 1,,,,,,
Q54r4,"Q54r4: Transport adapté - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",2,Item 2,,,,,,
Q54r4,"Q54r4: Transport adapté - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",3,Item 3,,,,,,
Q54r5,"Q54r5: Bicyclette - Quels sont les trois (3) moyens de transport que vous utilisez le plus couramment pour vous déplacer à Montréal, par ordre d’importance?",1,Item 1,,,,,,
